        Time / ns                i1 (Mesh Pass=3)/real
----------------------------------------------------------------------
                       0                  -4.8050879e-09
             0.068542831                    1.505371e-06
              0.13708566                   1.7086536e-06
              0.20562848                   1.9274696e-06
              0.27417132                    2.160622e-06
              0.34271413                   2.4061981e-06
              0.41125697                   2.6614307e-06
              0.47979981                   2.9225159e-06
              0.54834265                   3.1844402e-06
              0.61688542                   3.4407585e-06
              0.68542826                   3.6833824e-06
               0.7539711                   3.9023148e-06
              0.82251394                   4.0853984e-06
              0.89105678                   4.2180254e-06
              0.95959961                   4.2828274e-06
               1.0281425                   4.2593811e-06
               1.0966853                   4.1238704e-06
               1.1652281                   3.8487597e-06
               1.2337708                   3.4024845e-06
               1.3023137                   2.7491221e-06
               1.3708565                    1.848103e-06
               1.4393994                   6.5395301e-07
               1.5079422                  -8.8393375e-07
                1.576485                  -2.8214586e-06
               1.6450279                  -5.2199016e-06
               1.7135707                  -8.1459166e-06
               1.7821136                  -1.1671416e-05
               1.8506564                  -1.5873309e-05
               1.9191992                  -2.0833084e-05
               1.9877421                  -2.6636204e-05
               2.0562849                  -3.3371267e-05
               2.1248276                   -4.112894e-05
               2.1933706                  -5.0000603e-05
               2.2619133                  -6.0076654e-05
               2.3304563                   -7.144452e-05
                2.398999                  -8.4186235e-05
               2.4675417                  -9.8375625e-05
               2.5360847                  -0.00011407505
               2.6046274                   -0.0001313317
               2.6731703                  -0.00015017332
                2.741713                  -0.00017060348
                2.810256                  -0.00019259636
               2.8787987                  -0.00021609085
               2.9473417                  -0.00024098427
               3.0158844                  -0.00026712546
               3.0844274                  -0.00029430751
               3.1529701                   -0.0003222599
                3.221513                  -0.00035064027
               3.2900558                  -0.00037902602
               3.3585985                  -0.00040690543
               3.4271414                  -0.00043366893
               3.4956841                   -0.0004586002
               3.5642271                  -0.00048086763
               3.6327698                  -0.00049951591
               3.7013128                  -0.00051345851
               3.7698555                  -0.00052147085
               3.8383985                  -0.00052218442
               3.9069412                  -0.00051408267
               3.9754841                  -0.00049549819
               4.0440269                  -0.00046461209
               4.1125698                  -0.00041945605
               4.1811123                  -0.00035791675
               4.2496552                  -0.00027774367
               4.3181982                  -0.00017656048
               4.3867412                  -5.1880415e-05
               4.4552836                   9.8874021e-05
               4.5238266                   0.00027834656
               4.5923696                   0.00048921758
               4.6609125                   0.00073416886
                4.729455                     0.001015843
                4.797998                    0.0013367962
               4.8665409                    0.0016994455
               4.9350834                    0.0021060093
               5.0036263                    0.0025584421
               5.0721693                    0.0030583616
               5.1407123                    0.0036069723
               5.2092547                     0.004204981
               5.2777977                    0.0048525087
               5.3463407                    0.0055489964
               5.4148836                    0.0062931096
               5.4834261                    0.0070826374
               5.5519691                    0.0079143904
                5.620512                    0.0087840995
               5.6890545                    0.0096863182
               5.7575974                     0.010614318
               5.8261404                         0.01156
               5.8946834                     0.012513811
               5.9632258                     0.013464658
               6.0317688                     0.014399849
               6.1003118                     0.015305039
               6.1688547                     0.016164191
               6.2373972                     0.016959563
               6.3059402                     0.017671706
               6.3744831                     0.018279504
               6.4430261                     0.018760215
               6.5115685                     0.019089567
               6.5801115                     0.019241866
               6.6486545                     0.019190149
               6.7171969                     0.018906377
               6.7857399                     0.018361641
               6.8542829                     0.017526435
               6.9228258                     0.016370952
               6.9913683                     0.014865422
               7.0599113                     0.012980486
               7.1284542                     0.010687618
               7.1969972                    0.0079595651
               7.2655396                    0.0047708391
               7.3340826                    0.0010982271
               7.4026256                   -0.0030786695
                7.471168                   -0.0077768718
                7.539711                    -0.013009447
                7.608254                    -0.018784918
               7.6767969                    -0.025106683
               7.7453394                    -0.031972419
               7.8138824                    -0.039373517
               7.8824253                    -0.047294542
               7.9509683                    -0.055712704
               8.0195112                    -0.064597398
               8.0880537                    -0.073909782
               8.1565962                    -0.083602414
               8.2251396                    -0.093618982
               8.2936821                      -0.1038941
               8.3622246                     -0.11435322
                8.430768                     -0.12491263
               8.4993105                     -0.13547952
               8.5678539                     -0.14595236
               8.6363964                     -0.15622108
               8.7049389                     -0.16616771
               8.7734823                     -0.17566699
               8.8420248                     -0.18458711
               8.9105673                     -0.19279072
               8.9791107                     -0.20013587
               9.0476532                     -0.20647736
               9.1161957                     -0.21166797
               9.1847391                     -0.21555999
               9.2532816                     -0.21800674
                9.321825                     -0.21886437
               9.3903675                     -0.21799348
                 9.45891                      -0.2152611
               9.5274534                     -0.21054254
               9.5959959                     -0.20372334
               9.6645384                     -0.19470119
               9.7330818                     -0.18338792
               9.8016243                     -0.16971135
               9.8701668                     -0.15361717
               9.9387102                     -0.13507064
               10.007253                      -0.1140582
               10.075796                    -0.090589002
               10.144339                    -0.064696178
               10.212881                    -0.036437903
               10.281425                   -0.0058983052
               10.349967                     0.026811929
               10.418509                     0.061555214
               10.487053                     0.098166995
               10.555595                      0.13645603
               10.624138                      0.17620489
               10.692681                      0.21717097
               10.761224                      0.25908759
               10.829767                      0.30166566
                10.89831                      0.34459555
               10.966852                      0.38754922
               11.035396                      0.43018284
               11.103938                       0.4721396
               11.172481                       0.5130527
               11.241024                      0.55254877
               11.309566                      0.59025133
               11.378109                      0.62578452
               11.446652                      0.65877688
               11.515195                      0.68886536
               11.583738                      0.71569932
               11.652281                      0.73894435
               11.720823                      0.75828642
               11.789367                      0.77343541
               11.857909                       0.7841292
               11.926452                      0.79013681
               11.994995                      0.79126185
               12.063538                      0.78734535
               12.132081                      0.77826852
               12.200624                      0.76395488
               12.269166                      0.74437213
               12.337709                      0.71953362
               12.406252                      0.68949914
               12.474794                      0.65437549
               12.543338                      0.61431628
                12.61188                      0.56952149
               12.680423                      0.52023607
               12.748966                      0.46674883
               12.817509                      0.40938973
               12.886052                      0.34852764
               12.954595                      0.28456715
               13.023137                      0.21794505
               13.091681                      0.14912654
               13.160223                     0.078600809
               13.228765                    0.0068765888
               13.297309                    -0.065522686
               13.365851                     -0.13806388
               13.434394                      -0.2102093
               13.502937                     -0.28142193
                13.57148                     -0.35117072
               13.640023                     -0.41893569
               13.708566                     -0.48421305
               13.777108                     -0.54652023
               13.845652                     -0.60540044
               13.914194                     -0.66042721
               13.982737                     -0.71120822
                14.05128                     -0.75738949
               14.119823                     -0.79865801
               14.188365                     -0.83474511
               14.256908                     -0.86542851
               14.325451                     -0.89053416
               14.393994                      -0.9099375
               14.462537                     -0.92356426
               14.531079                     -0.93139052
               14.599623                     -0.93344235
               14.668165                     -0.92979515
               14.736708                     -0.92057168
               14.805251                     -0.90594089
               14.873794                     -0.88611478
               14.942336                     -0.86134613
                15.01088                     -0.83192509
               15.079422                     -0.79817557
               15.147965                     -0.76045161
               15.216508                     -0.71913308
                15.28505                     -0.67462164
               15.353594                     -0.62733597
               15.422136                     -0.57770771
               15.490679                     -0.52617657
               15.559222                     -0.47318608
               15.627765                     -0.41917908
               15.696307                     -0.36459348
               15.764851                     -0.30985799
               15.833393                     -0.25538853
               15.901937                     -0.20158431
               15.970479                     -0.14882469
               16.039022                    -0.097466096
               16.107565                     -0.04783934
               16.176107                  -0.00024739178
                16.24465                     0.045036569
               16.313192                     0.087770656
               16.381737                      0.12774538
               16.450279                      0.16478442
               16.518822                      0.19874486
               16.587364                       0.2295173
               16.655907                      0.25702527
               16.724449                      0.28122467
               16.792994                       0.3021026
               16.861536                      0.31967595
               16.930079                      0.33399004
               16.998621                      0.34511647
               17.067163                      0.35315126
               17.135708                      0.35821262
                17.20425                      0.36043856
               17.272793                      0.35998446
               17.341335                      0.35702074
               17.409878                      0.35173002
                17.47842                      0.34430492
               17.546965                      0.33494532
               17.615507                      0.32385612
                17.68405                      0.31124476
               17.752592                      0.29731905
               17.821135                      0.28228506
               17.889679                      0.26634517
               17.958221                      0.24969617
               18.026764                      0.23252782
               18.095306                      0.21502127
               18.163849                      0.19734783
               18.232391                      0.17966799
               18.300936                      0.16213043
               18.369478                      0.14487141
               18.438021                       0.1280143
               18.506563                      0.11166915
               18.575106                     0.095932715
                18.64365                     0.080888323
               18.712193                     0.066606104
               18.780735                      0.05314327
               18.849277                     0.040544566
                18.91782                     0.028842751
               18.986362                      0.01805927
               19.054907                    0.0082049267
               19.123449                  -0.00071934052
               19.191992                   -0.0087216375
               19.260534                    -0.015818264
               19.329077                    -0.022032838
               19.397621                    -0.027395409
               19.466164                     -0.03194157
               19.534706                    -0.035711586
               19.603249                     -0.03874955
               19.671791                    -0.041102551
               19.740334                    -0.042819906
               19.808878                    -0.043952409
                19.87742                    -0.044551656
               19.945963                    -0.044669401
               20.014505                    -0.044356991
               20.083048                    -0.043664839
               20.151592                    -0.042641968
               20.220135                    -0.041335624
               20.288677                    -0.039790925
                20.35722                    -0.038050588
               20.425762                     -0.03615471
               20.494305                    -0.034140583
               20.562849                      -0.0320426
               20.631392                    -0.029892158
               20.699934                    -0.027717637
               20.768476                    -0.025544414
               20.837019                    -0.023394905
               20.905563                    -0.021288643
               20.974106                    -0.019242369
               21.042648                    -0.017270174
               21.111191                    -0.015383629
               21.179733                     -0.01359195
               21.248276                    -0.011902163
                21.31682                    -0.010319284
               21.385363                    -0.008846499
               21.453905                   -0.0074853473
               21.522448                   -0.0062359017
                21.59099                   -0.0050969506
               21.659534                   -0.0040661693
               21.728077                   -0.0031402872
               21.796619                   -0.0023152474
