        Frequency / MHz                Port 1 [1] (6)/abs,linear
----------------------------------------------------------------------
                      40                       5235.8516
                   40.26                         8651.78
                   40.52                       8933.0015
                   40.78                       5959.9792
                   41.04                       4117.6637
                    41.3                        2992.538
                   41.56                       2254.8108
                   41.82                       1766.5763
                   42.08                       1442.4173
                   42.34                       1221.6636
                    42.6                       1062.0358
                   42.86                       935.68929
                   43.12                        827.7013
                   43.38                       734.21564
                   43.64                       657.66583
                    43.9                        601.7768
                   44.16                        569.6395
                   44.42                       564.28351
                   44.68                       589.72614
                   44.94                       651.08981
                    45.2                         751.594
                   45.46                       880.79963
                   45.72                       994.27236
                   45.98                       1030.9365
                   46.24                       988.50399
                    46.5                       914.95401
                   46.76                        841.3417
                   47.02                       773.45832
                   47.28                       709.20204
                   47.54                       648.47918
                    47.8                        593.8429
                   48.06                       547.53982
                   48.32                       509.70378
                   48.58                       478.48521
                   48.84                       451.15106
                    49.1                       425.42899
                   49.36                       400.44089
                   49.62                       376.64282
                   49.88                       354.95758
                   50.14                       335.90197
                    50.4                       319.23128
                   50.66                        304.1111
                   50.92                       289.61004
                   51.18                       275.20659
                   51.44                       260.97615
                    51.7                       247.36419
                   51.96                       234.78361
                   52.22                       223.33193
                   52.48                       212.75197
                   52.74                       202.60501
                      53                       192.53411
                   53.26                       182.44609
                   53.52                       172.49926
                   53.78                       162.93841
                   54.04                       153.91456
                    54.3                         145.396
                   54.56                       137.19879
                   54.82                       129.10212
                   55.08                       120.97167
                   55.34                       112.81261
                    55.6                       104.73006
                   55.86                       96.840766
                   56.12                       89.197741
                   56.38                       81.764109
                   56.64                       74.439845
                    56.9                       67.119202
                   57.16                       59.742657
                   57.42                       52.314882
                   57.68                       44.886556
                   57.94                       37.519559
                    58.2                       30.258259
                   58.46                       23.123739
                   58.72                       16.154612
                   58.98                       9.6232979
                   59.24                       5.6294734
                    59.5                       9.1356121
                   59.76                       15.946986
                   60.02                       23.444873
                   60.28                       31.191304
                   60.54                       39.063729
                    60.8                       47.031737
                   61.06                       55.124372
                   61.32                       63.412245
                   61.58                       71.977741
                   61.84                       80.878185
                    62.1                        90.11878
                   62.36                       99.651441
                   62.62                       109.40701
                   62.88                       119.35315
                   63.14                       129.54908
                    63.4                       140.15582
                   63.66                       151.38075
                   63.92                       163.38086
                   64.18                       176.18198
                   64.44                       189.66943
                    64.7                       203.67856
                   64.96                       218.16043
                   65.22                       233.32513
                   65.48                       249.64161
                   65.74                       267.66111
                      66                       287.76311
                   66.26                       309.97866
                   66.52                       334.02567
                   66.78                       359.62519
                   67.04                       386.99567
                    67.3                       417.19584
                   67.56                       452.00754
                   67.82                       493.39754
                   68.08                         542.879
                   68.34                       601.14135
                    68.6                       668.39929
                   68.86                       745.91487
                   69.12                       838.47329
                   69.38                       956.74235
                   69.64                       1119.1374
                    69.9                       1354.6503
                   70.16                        1708.792
                   70.42                       2253.5835
                   70.68                       3090.8261
                   70.94                       4212.4106
                    71.2                        4703.801
                   71.46                       3690.9403
                   71.72                       2575.8717
                   71.98                       1867.9617
                   72.24                       1439.0894
                    72.5                       1167.9244
                   72.76                       985.22392
                   73.02                       852.16917
                   73.28                       747.07106
                   73.54                       659.04683
                    73.8                       583.84603
                   74.06                       520.13441
                   74.32                       466.90702
                   74.58                       422.50016
                   74.84                       384.70048
                    75.1                       351.29818
                   75.36                        320.6648
                   75.62                       292.03901
                   75.88                        265.3637
                   76.14                        240.8442
                    76.4                       218.55972
                   76.66                       198.31298
                   76.92                        179.6983
                   77.18                        162.2841
                   77.44                       145.79718
                    77.7                       130.22064
                   77.96                       115.78486
                   78.22                       102.90388
                   78.48                       92.119475
                   78.74                         84.0588
                      79                       79.348128
                   79.26                       78.434621
                   79.52                       81.400779
                   79.78                       87.958829
                   80.04                       97.643222
                    80.3                       109.99955
                   80.56                       124.62776
                   80.82                       141.10573
                   81.08                       158.89077
                   81.34                       177.30134
                    81.6                        195.6458
                   81.86                       213.44852
                   82.12                       230.56682
                   82.38                       246.99869
                   82.64                       262.44253
                    82.9                       275.96355
                   83.16                       286.18101
                   83.42                       292.05502
                   83.68                       293.68296
                   83.94                       292.27866
                    84.2                       289.31773
                   84.46                       285.67427
                   84.72                       281.40593
                   84.98                       276.19997
                   85.24                       270.05285
                    85.5                         263.637
                   85.76                       258.09453
                   86.02                       254.49324
                   86.28                       253.37306
                   86.54                       254.62257
                    86.8                       257.69657
                   87.06                       262.05537
                   87.32                       267.59723
                   87.58                       274.81219
                   87.84                        284.5442
                    88.1                         297.519
                   88.36                       313.91506
                   88.62                       333.19807
                   88.88                        354.3604
                   89.14                       376.57408
                    89.4                       399.92538
                   89.66                       425.61186
                   89.92                       455.26969
                   90.18                       489.73355
                   90.44                       527.86545
                    90.7                       566.27412
                   90.96                       600.82116
                   91.22                       629.43223
                   91.48                       653.31202
                   91.74                       674.57915
                      92                       692.43723
                   92.26                       701.74306
                   92.52                       696.43724
                   92.78                       675.64223
                   93.04                       645.15622
                    93.3                        612.3685
                   93.56                       581.26437
                   93.82                       551.66431
                   94.08                       521.43723
                   94.34                       489.31376
                    94.6                       456.22979
                   94.86                       424.45097
                   95.12                       395.83313
                   95.38                       370.84339
                   95.64                       348.65992
                    95.9                       327.91643
                   96.16                       307.58611
                   96.42                       287.49186
                   96.68                       268.15793
                   96.94                       250.24525
                    97.2                       234.06059
                   97.46                       219.40166
                   97.72                       205.71852
                   97.98                       192.44569
                   98.24                       179.30038
                    98.5                       166.36468
                   98.76                       153.93308
                   99.02                       142.27461
                   99.28                       131.46904
                   99.54                       121.38242
                    99.8                       111.76698
                  100.06                       102.42082
                  100.32                       93.315754
                  100.58                       84.626112
                  100.84                       76.662594
                   101.1                       69.766245
                  101.36                       64.215994
                  101.62                       60.184492
                  101.88                       57.763003
                  102.14                       57.038512
                   102.4                       58.146526
                  102.66                       61.224119
                  102.92                       66.290268
                  103.18                       73.166328
                  103.44                       81.502583
                   103.7                       90.883066
                  103.96                       100.95878
                  104.22                       111.57071
                  104.48                       122.80993
                  104.74                       134.96132
                     105                       148.33725
                  105.26                        163.0824
                  105.52                       179.05289
                  105.78                       195.85661
                  106.04                       213.10092
                   106.3                       230.76637
                  106.56                       249.43764
                  106.82                       270.13154
                  107.08                       293.75709
                  107.34                       320.49568
                   107.6                        349.4457
                  107.86                       378.93651
                  108.12                       407.74211
                  108.38                       436.45635
                  108.64                        467.5023
                   108.9                       503.29429
                  109.16                       543.58719
                  109.42                       583.52324
                  109.68                       614.86224
                  109.94                       632.13741
                   110.2                       637.97134
                  110.46                        639.6117
                  110.72                       640.96265
                  110.98                       638.75111
                  111.24                       625.57362
                   111.5                       598.02725
                  111.76                       561.46036
                  112.02                       525.10764
                  112.28                       494.95379
                  112.54                       471.52569
                   112.8                       451.44228
                  113.06                       430.46745
                  113.32                       406.75158
                  113.58                       382.01962
                  113.84                        359.7568
                   114.1                        342.6152
                  114.36                       331.11431
                  114.62                       323.66922
                  114.88                       317.53815
                  115.14                       310.50214
                   115.4                       302.40543
                  115.66                       295.21079
                  115.92                       291.55934
                  116.18                       293.14746
                  116.44                       299.76213
                   116.7                       309.12826
                  116.96                       317.91076
                  117.22                       323.98765
                  117.48                       328.38439
                  117.74                       334.70494
                     118                       346.55776
                  118.26                       364.96298
                  118.52                       386.56502
                  118.78                       403.91934
                  119.04                       410.52094
                   119.3                       407.51584
                  119.56                       402.67108
                  119.82                       402.87942
                  120.08                       408.61921
                  120.34                       412.22246
                   120.6                       402.28885
                  120.86                       375.65216
                  121.12                       341.48639
                  121.38                       310.62392
                  121.64                       287.61741
                   121.9                       270.35526
                  122.16                       251.97366
                  122.42                       225.76575
                  122.68                       191.69634
                  122.94                       155.53129
                   123.2                       122.69248
                  123.46                       96.539343
                  123.72                       80.735559
                  123.98                       80.604221
                  124.24                       99.108478
                   124.5                       135.74226
                  124.76                       193.64884
                  125.02                       286.24979
                  125.28                       449.54496
                  125.54                       770.56655
                   125.8                        1221.226
                  126.06                       1100.6224
                  126.32                       839.67417
                  126.58                       695.12079
                  126.84                        599.8287
                   127.1                       514.93442
                  127.36                       436.67558
                  127.62                       372.07856
                  127.88                       323.59037
                  128.14                       288.94786
                   128.4                       264.12104
                  128.66                       244.87816
                  128.92                       227.83347
                  129.18                       211.33713
                  129.44                       195.49684
                   129.7                       181.21829
                  129.96                       169.13223
                  130.22                       159.03696
                  130.48                       149.91839
                  130.74                       140.48248
                     131                       129.93771
                  131.26                       118.43705
                  131.52                       106.85112
                  131.78                       96.222998
                  132.04                       87.365604
                   132.3                       80.690657
                  132.56                       76.190475
                  132.82                       73.573866
                  133.08                       72.547977
                  133.34                       73.075817
                   133.6                       75.393706
                  133.86                       79.771775
                  134.12                        86.22848
                  134.38                       94.419292
                  134.64                       103.74479
                   134.9                       113.59749
                  135.16                        123.6394
                  135.42                        133.9655
                  135.68                       145.01845
                  135.94                       157.27849
                   136.2                       170.91872
                  136.46                       185.62373
                  136.72                        200.6903
                  136.98                       215.43379
                  137.24                       229.70912
                   137.5                       244.11977
                  137.76                       259.64564
                  138.02                       276.92026
                  138.28                       295.63741
                  138.54                       314.47818
                   138.8                       331.78663
                  139.06                       346.74695
                  139.32                       360.06289
                  139.58                       373.31796
                  139.84                       387.50263
                   140.1                       401.89052
                  140.36                       414.10524
                  140.62                        421.6247
                  140.88                       423.79346
                  141.14                       422.34502
                   141.4                       419.79615
                  141.66                       417.42053
                  141.92                       414.48979
                  142.18                       409.10368
                  142.44                       399.94691
                   142.7                       387.55526
                  142.96                         373.939
                  143.22                       361.09211
                  143.48                       349.82789
                  143.74                       339.62951
                     144                       329.33773
                  144.26                       318.14808
                  144.52                       306.24014
                  144.78                       294.60968
                  145.04                         284.354
                   145.3                       276.03024
                  145.56                       269.45981
                  145.82                       263.98454
                  146.08                       258.97845
                  146.34                       254.30319
