        Frequency / MHz                Port 1 [1] (6)/arg,degrees
----------------------------------------------------------------------
                      40                        68.24246
                   40.26                       39.779987
                   40.52                      -10.847035
                   40.78                      -41.072524
                   41.04                      -56.079629
                    41.3                      -64.968026
                   41.56                      -69.811272
                   41.82                      -71.644795
                   42.08                      -71.594606
                   42.34                       -70.67736
                    42.6                      -69.564298
                   42.86                      -68.432179
                   43.12                      -66.963559
                   43.38                      -64.594928
                   43.64                      -60.878625
                    43.9                      -55.697703
                   44.16                      -49.299323
                   44.42                      -42.286122
                   44.68                      -35.627533
                   44.94                       -30.64664
                    45.2                      -28.924366
                   45.46                      -31.946695
                   45.72                      -39.960968
                   45.98                      -50.496262
                   46.24                      -59.927913
                    46.5                      -66.867927
                   46.76                      -71.942246
                   47.02                      -75.982257
                   47.28                      -79.292178
                   47.54                      -81.796788
                    47.8                      -83.430411
                   48.06                       -84.34475
                   48.32                      -84.861911
                   48.58                      -85.311502
                   48.84                      -85.877854
                    49.1                      -86.536998
                   49.36                      -87.123894
                   49.62                      -87.481692
                   49.88                      -87.577393
                   50.14                      -87.513455
                    50.4                      -87.453274
                   50.66                      -87.518349
                   50.92                       -87.71764
                   51.18                      -87.953332
                   51.44                      -88.097699
                    51.7                      -88.081229
                   51.96                      -87.931271
                   52.22                        -87.7463
                   52.48                       -87.63032
                   52.74                      -87.628063
                      53                      -87.700692
                   53.26                      -87.757402
                   53.52                      -87.718035
                   53.78                      -87.561989
                   54.04                      -87.335564
                    54.3                      -87.119322
                   54.56                      -86.977068
                   54.82                      -86.916774
                   55.08                      -86.887568
                   55.34                      -86.812801
                    55.6                       -86.63475
                   55.86                      -86.343133
                   56.12                      -85.974381
                   56.38                      -85.584816
                   56.64                      -85.212026
                    56.9                      -84.844327
                   57.16                      -84.412806
                   57.42                      -83.803884
                   57.68                      -82.874792
                   57.94                      -81.448264
                    58.2                      -79.252979
                   58.46                       -75.71912
                   58.72                      -69.249899
                   58.98                      -53.761252
                   59.24                      -3.2613137
                    59.5                       52.519131
                   59.76                       69.641388
                   60.02                        76.14446
                   60.28                       79.360765
                   60.54                       81.237453
                    60.8                       82.495546
                   61.06                       83.450813
                   61.32                       84.236404
                   61.58                       84.888404
                   61.84                        85.39802
                    62.1                       85.752228
                   62.36                       85.961664
                   62.62                         86.0706
                   62.88                       86.146188
                   63.14                       86.250502
                    63.4                       86.409245
                   63.66                       86.597342
                   63.92                       86.753403
                   64.18                       86.816416
                   64.44                        86.76453
                    64.7                       86.634043
                   64.96                       86.504085
                   65.22                         86.4499
                   65.48                       86.491638
                   65.74                       86.574936
                      66                       86.599155
                   66.26                       86.477277
                   66.52                       86.193734
                   66.78                       85.824467
                   67.04                       85.496447
                    67.3                         85.3015
                   67.56                       85.222056
                   67.82                       85.123973
                   68.08                       84.822635
                   68.34                       84.186766
                    68.6                       83.226811
                   68.86                       82.102639
                   69.12                       81.007371
                   69.38                       79.976641
                   69.64                       78.741215
                    69.9                        76.67358
                   70.16                       72.763058
                   70.42                       65.494597
                   70.68                       52.389062
                   70.94                        29.02323
                    71.2                      -6.8266348
                   71.46                       -39.29404
                   71.72                      -57.415765
                   71.98                      -66.290534
                   72.24                      -70.609493
                    72.5                       -72.82443
                   72.76                       -74.23045
                   73.02                      -75.460747
                   73.28                      -76.681274
                   73.54                      -77.761834
                    73.8                       -78.49821
                   74.06                      -78.796492
                   74.32                      -78.727485
                   74.58                      -78.465927
                   74.84                      -78.184735
                    75.1                      -77.964176
                   75.36                      -77.758199
                   75.62                      -77.434285
                   75.88                      -76.856161
                   76.14                      -75.950009
                    76.4                      -74.717223
                   76.66                      -73.198252
                   76.92                      -71.413363
                   77.18                      -69.308664
                   77.44                      -66.729677
                    77.7                      -63.428573
                   77.96                      -59.092723
                   78.22                      -53.383084
                   78.48                      -45.998075
                   78.74                       -36.80708
                      79                      -26.064578
                   79.26                      -14.554856
                   79.52                       -3.394983
                   79.78                       6.4564999
                   80.04                       14.515832
                    80.3                       20.708406
                   80.56                       25.158851
                   80.82                       28.052693
                   81.08                       29.596733
                   81.34                       30.026214
                    81.6                       29.604642
                   81.86                       28.584196
                   82.12                       27.136857
                   82.38                       25.310209
                   82.64                       23.061317
                    82.9                       20.366971
                   83.16                       17.342021
                   83.42                       14.267602
                   83.68                       11.481259
                   83.94                       9.2056555
                    84.2                        7.461866
                   84.46                       6.1309268
                   84.72                       5.0989952
                   84.98                       4.3725272
                   85.24                       4.0839283
                    85.5                       4.3895669
                   85.76                       5.3419956
                   86.02                       6.8309141
                   86.28                       8.6270209
                   86.54                       10.492667
                    86.8                        12.28885
                   87.06                       14.014259
                   87.32                       15.752501
                   87.58                       17.562845
                   87.84                       19.390413
                    88.1                       21.057185
                   88.36                       22.337191
                   88.62                       23.068091
                   88.88                       23.234197
                   89.14                       22.965722
                    89.4                       22.437253
                   89.66                       21.719823
                   89.92                       20.691394
                   90.18                       19.075707
                   90.44                       16.596272
                    90.7                       13.167625
                   90.96                       8.9940644
                   91.22                       4.4460149
                   91.48                     -0.23597585
                   91.74                      -5.1329941
                      92                      -10.529522
                   92.26                      -16.562873
                   92.52                      -22.934126
                   92.78                      -29.010227
                   93.04                      -34.282112
                    93.3                      -38.688717
                   93.56                      -42.525758
                   93.82                      -46.131854
                   94.08                      -49.627763
                   94.34                      -52.865793
                    94.6                      -55.597341
                   94.86                      -57.694982
                   95.12                      -59.244381
                   95.38                       -60.47554
                   95.64                      -61.618081
                    95.9                      -62.774612
                   96.16                      -63.882711
                   96.42                      -64.786469
                   96.68                      -65.360082
                   96.94                       -65.59154
                    97.2                      -65.581068
                   97.46                      -65.471992
                   97.72                      -65.360793
                   97.98                      -65.238197
                   98.24                      -64.996959
                    98.5                      -64.498198
                   98.76                       -63.64735
                   99.02                      -62.432047
                   99.28                       -60.90609
                   99.54                      -59.131739
                    99.8                      -57.109427
                  100.06                      -54.731991
                  100.32                      -51.788925
                  100.58                      -48.016456
